Unnamed: 0,date,S308.DS_FLOW_cmd
7446,2010-05-23,4354904.4723072
7447,2010-05-24,4281507.20592
7448,2010-05-25,4208109.9395328
7449,2010-05-26,3767726.3412096
7450,2010-05-27,3229479.7210368
7451,2010-05-28,3048433.13061504
7452,2010-05-29,2519972.8126272
7453,2010-05-30,1773767.271024
7454,2010-05-31,924805.55647872
7455,2010-06-01,1781106.99766272
7456,2010-06-02,2094268.66758144
7457,2010-06-03,2113841.27195136
7458,2010-06-04,2568904.323552
7459,2010-06-05,2691233.100864
7460,2010-06-06,2439235.81960128
7461,2010-06-07,1974386.46581568
7462,2010-06-08,1477731.62992896
7463,2010-06-09,1489964.50766016
7464,2010-06-10,1465498.75219776
7465,2010-06-11,3205013.9655744
7466,2010-06-12,4159178.428608
7467,2010-06-13,4061315.4067584
7468,2010-06-14,3792192.096672
7469,2010-06-15,3694329.0748224
7470,2010-06-16,3596466.0529728
7471,2010-06-17,3156082.4546496
7472,2010-06-18,2446575.54624
7473,2010-06-19,1551128.89631616
7474,2010-06-20,910126.10320128
7475,2010-06-21,1888756.32169728
7476,2010-06-22,3058219.4328
7477,2010-06-23,3278411.2319616
7478,2010-06-24,3131616.6991872
7479,2010-06-25,2471041.3017024
7480,2010-06-26,2199471.41606976
7481,2010-06-27,1573148.07623232
7482,2010-06-28,2123627.57413632
7483,2010-06-29,3229479.7210368
7484,2010-06-30,3327342.7428864
7485,2010-07-01,1898542.62388224
7486,2010-07-02,1025115.15387456
7487,2010-07-03,435490.44723072
7488,2010-07-04,-171260.2882368
7489,2010-07-05,-924805.55647872
7490,2010-07-06,-648342.5197536
7491,2010-07-07,-68504.11529472
7492,2010-07-08,107649.32403456
7493,2010-07-09,83183.56857216
7494,2010-07-10,376772.63412096
7495,2010-07-11,2055123.4588416
7496,2010-07-12,3033753.6773376
7497,2010-07-13,3009287.9218752
7498,2010-07-14,3767726.3412096
7499,2010-07-15,4232575.6949952
7500,2010-07-16,4599562.0269312
7501,2010-07-17,4305972.9613824
7502,2010-07-18,4305972.9613824
7503,2010-07-19,4599562.0269312
7504,2010-07-20,4354904.4723072
7505,2010-07-21,3669863.31936
7506,2010-07-22,4477233.2496192
7507,2010-07-23,2519972.8126272
7508,2010-07-24,1565808.3495936
7509,2010-07-25,1739515.21337664
7510,2010-07-26,2116287.8474976
7511,2010-07-27,1756641.24220032
7512,2010-07-28,1646545.34261952
7513,2010-07-29,1822698.7819488
7514,2010-07-30,1348063.12597824
7515,2010-07-31,1433693.27009664
7516,2010-08-01,1098512.42026176
7517,2010-08-02,1707709.73127552
7518,2010-08-03,1565808.3495936
7519,2010-08-04,1729728.91119168
7520,2010-08-05,1323597.37051584
7521,2010-08-06,1372528.88144064
7522,2010-08-07,868534.3189152
7523,2010-08-08,411024.69176832
7524,2010-08-09,203065.77033792
7525,2010-08-10,286249.33891008
7526,2010-08-11,366986.331936
7527,2010-08-12,195726.0436992
7528,2010-08-13,5137.808647104
7529,2010-08-14,-119882.20176576
7530,2010-08-15,374326.05857472
7531,2010-08-16,337627.42538112
7532,2010-08-17,411024.69176832
7533,2010-08-18,-53824.66201728
7534,2010-08-19,-88076.71966464
7535,2010-08-20,-75843.84193344
7536,2010-08-21,83183.56857216
7537,2010-08-22,-318054.8210112
7538,2010-08-23,-305821.94328
7539,2010-08-24,-85630.1441184
7540,2010-08-25,63610.96420224
7541,2010-08-26,44038.35983232
7542,2010-08-27,176153.43932928
7543,2010-08-28,53824.66201728
7544,2010-08-29,-97863.0218496
7545,2010-08-30,484421.95815552
7546,2010-08-31,371879.48302848
7547,2010-09-01,489315.109248
7548,2010-09-02,337627.42538112
7549,2010-09-03,817156.23244416
7550,2010-09-04,1235520.6508512
7551,2010-09-05,1140104.20454784
7552,2010-09-06,738865.81496448
7553,2010-09-07,234871.25243904
7554,2010-09-08,276463.03672512
7555,2010-09-09,-80736.99302592
7556,2010-09-10,-70950.69084096
7557,2010-09-11,386558.93630592
7558,2010-09-12,239764.40353152
7559,2010-09-13,440383.5983232
7560,2010-09-14,609197.31101376
7561,2010-09-15,1384761.75917184
7562,2010-09-16,1839824.81077248
7563,2010-09-17,839175.41236032
7564,2010-09-18,464849.3537856
7565,2010-09-19,692380.87958592
7566,2010-09-20,760884.99488064
7567,2010-09-21,384112.36075968
7568,2010-09-22,1052027.4848832
7569,2010-09-23,528460.31798784
7570,2010-09-24,173706.86378304
7571,2010-09-25,313161.66991872
7572,2010-09-26,176153.43932928
7573,2010-09-27,73397.2663872
7574,2010-09-28,107649.32403456
7575,2010-09-29,41591.78428608
7576,2010-09-30,-110095.8995808
7577,2010-10-01,-100309.59739584
7578,2010-10-02,39145.20873984
7579,2010-10-03,-24465.7554624
7580,2010-10-04,88076.71966464
7581,2010-10-05,242210.97907776
7582,2010-10-06,137008.23058944
7583,2010-10-07,237317.82798528
7584,2010-10-08,9052.329521088
7585,2010-10-09,-61164.388656
7586,2010-10-10,-75843.84193344
7587,2010-10-11,11254.247512704
7588,2010-10-12,457509.62714688
7589,2010-10-13,-3180.548210112
7590,2010-10-14,-105202.74848832
7591,2010-10-15,105202.74848832
7592,2010-10-16,146794.5327744
7593,2010-10-17,-11009.58995808
7594,2010-10-18,122328.777312
7595,2010-10-19,141901.38168192
7596,2010-10-20,-139454.80613568
7597,2010-10-21,-166367.13714432
7598,2010-10-22,281356.1878176
7599,2010-10-23,41591.78428608
7600,2010-10-24,232424.6768928
7601,2010-10-25,330287.6987424
7602,2010-10-26,369432.90748224
7603,2010-10-27,413471.26731456
7604,2010-10-28,274016.46117888
7605,2010-10-29,61164.388656
7606,2010-10-30,151687.68386688
7607,2010-10-31,210405.49697664
7608,2010-11-01,535800.04462656
7609,2010-11-02,890553.49883136
7610,2010-11-03,733972.663872
7611,2010-11-04,185939.74151424
7612,2010-11-05,90523.29521088
7613,2010-11-06,78290.41747968
7614,2010-11-07,293589.0655488
7615,2010-11-08,795137.052528
7616,2010-11-09,704613.75731712
7617,2010-11-10,697274.0306784
7618,2010-11-11,824495.95908288
7619,2010-11-12,915019.25429376
7620,2010-11-13,714400.05950208
7621,2010-11-14,344967.15201984
7622,2010-11-15,807369.9302592
7623,2010-11-16,572498.67782016
7624,2010-11-17,420810.99395328
7625,2010-11-18,907679.52765504
7626,2010-11-19,738865.81496448
7627,2010-11-20,628769.91538368
7628,2010-11-21,494208.26034048
7629,2010-11-22,738865.81496448
7630,2010-11-23,719293.21059456
7631,2010-11-24,780457.59925056
7632,2010-11-25,699720.60622464
7633,2010-11-26,689934.30403968
7634,2010-11-27,181046.59042176
7635,2010-11-28,792690.47698176
7636,2010-11-29,795137.052528
7637,2010-11-30,741312.39051072
7638,2010-12-01,660575.3974848
7639,2010-12-02,484421.95815552
7640,2010-12-03,736419.23941824
7641,2010-12-04,770671.2970656
7642,2010-12-05,340074.00092736
7643,2010-12-06,809816.50580544
7644,2010-12-07,773117.87261184
7645,2010-12-08,699720.60622464
7646,2010-12-09,401238.38958336
7647,2010-12-10,291142.49000256
7648,2010-12-11,330287.6987424
7649,2010-12-12,748652.11714944
7650,2010-12-13,1157230.23337152
7651,2010-12-14,682594.57740096
7652,2010-12-15,851408.29009152
7653,2010-12-16,251997.28126272
7654,2010-12-17,-31805.48210112
7655,2010-12-18,68504.11529472
7656,2010-12-19,-244657.554624
7657,2010-12-20,-137008.23058944
7658,2010-12-21,41591.78428608
7659,2010-12-22,198172.61924544
7660,2010-12-23,-39145.20873984
7661,2010-12-24,90523.29521088
7662,2010-12-25,-83183.56857216
7663,2010-12-26,352306.87865856
7664,2010-12-27,261783.58344768
7665,2010-12-28,313161.66991872
7666,2010-12-29,110095.8995808
7667,2010-12-30,364539.75638976
7668,2010-12-31,251997.28126272
7669,2011-01-01,-66057.53974848
7670,2011-01-02,-176153.43932928
7671,2011-01-03,-137008.23058944
7672,2011-01-04,393898.66294464
7673,2011-01-05,78290.41747968
7674,2011-01-06,-146794.5327744
7675,2011-01-07,-384112.36075968
7676,2011-01-08,-614090.46210624
7677,2011-01-09,9052.329521088
7678,2011-01-10,-190832.89260672
7679,2011-01-11,207958.9214304
7680,2011-01-12,58717.81310976
7681,2011-01-13,-83183.56857216
7682,2011-01-14,251997.28126272
7683,2011-01-15,161473.98605184
7684,2011-01-16,88076.71966464
7685,2011-01-17,-100309.59739584
7686,2011-01-18,-234871.25243904
7687,2011-01-19,173706.86378304
7688,2011-01-20,-117435.62621952
7689,2011-01-21,34252.05764736
7690,2011-01-22,288695.91445632
7691,2011-01-23,-102756.17294208
7692,2011-01-24,205512.34588416
7693,2011-01-25,322947.97210368
7694,2011-01-26,-222638.37470784
7695,2011-01-27,-168813.71269056
7696,2011-01-28,-78290.41747968
7697,2011-01-29,-166367.13714432
7698,2011-01-30,-154134.25941312
7699,2011-01-31,-171260.2882368
7700,2011-02-01,396345.23849088
7701,2011-02-02,-2691.233100864
7702,2011-02-03,17126.02882368
7703,2011-02-04,203065.77033792
7704,2011-02-05,8073.699302592
7705,2011-02-06,-234871.25243904
7706,2011-02-07,132115.07949696
7707,2011-02-08,-31805.48210112
7708,2011-02-09,97863.0218496
7709,2011-02-10,269123.3100864
7710,2011-02-11,-110095.8995808
7711,2011-02-12,-85630.1441184
7712,2011-02-13,-8807.671966464
7713,2011-02-14,129668.50395072
