Unnamed: 0,date,S65E_S_FLOW_cmd
6687,2008-04-24,2311353.31579932
6688,2008-04-25,2197073.77203444
6689,2008-04-26,1832264.8923346
6690,2008-04-27,1815946.23344118
6691,2008-04-28,1032528.27777967
6692,2008-04-29,1487982.78146771
6693,2008-04-30,1329518.08333774
6694,2008-05-01,1185390.31790874
6695,2008-05-02,1203519.44270638
6696,2008-05-03,1124592.91558468
6697,2008-05-04,1096481.76255838
6698,2008-05-05,1052712.52603615
6699,2008-05-06,1160043.7952497
6700,2008-05-07,1641603.26001612
6701,2008-05-08,1053886.88229834
6702,2008-05-09,827725.438803917
6703,2008-05-10,1260818.24199932
6704,2008-05-11,1828007.85088414
6705,2008-05-12,899850.485907072
6706,2008-05-13,998056.028333146
6707,2008-05-14,1065850.63671946
6708,2008-05-15,519041.002134816
6709,2008-05-16,630678.244309747
6710,2008-05-17,565085.553915053
6711,2008-05-18,767270.557056327
6712,2008-05-19,878736.538943021
6713,2008-05-20,851799.742178919
6714,2008-05-21,915875.555734944
6715,2008-05-22,508887.71361792
6716,2008-05-23,205243.222574074
6717,2008-05-24,395929.320648019
6718,2008-05-25,298090.764553882
6719,2008-05-26,435196.858165171
6720,2008-05-27,21334.1387632128
6721,2008-05-28,348245.563251802
6722,2008-05-29,97080.1176748032
6723,2008-05-30,0.0
6724,2008-05-31,0.0
6725,2008-06-01,354068.413051853
6726,2008-06-02,476715.245184864
6727,2008-06-03,7657.7814597312
6728,2008-06-04,0.0
6729,2008-06-05,82645.3219519872
6730,2008-06-06,465387.600405773
6731,2008-06-07,0.0
6732,2008-06-08,0.0
6733,2008-06-09,0.0
6734,2008-06-10,77434.116038496
6735,2008-06-11,776812.201686663
6736,2008-06-12,256009.665158554
6737,2008-06-13,0.0
6738,2008-06-14,353823.755497229
6739,2008-06-15,500862.945826253
6740,2008-06-16,929.6987075712
6741,2008-06-17,798684.587070048
6742,2008-06-18,0.0
6743,2008-06-19,710558.935894483
6744,2008-06-20,888767.498682605
6745,2008-06-21,458561.654631763
6746,2008-06-22,404027.485706074
6747,2008-06-23,738596.691654394
6748,2008-06-24,390130.93660343
6749,2008-06-25,591312.843770746
6750,2008-06-26,688539.755978323
6751,2008-06-27,359989.125873754
6752,2008-06-28,860215.962057984
6753,2008-06-29,303326.436222835
6754,2008-06-30,758683.076889024
6755,2008-07-01,1139884.01274868
6756,2008-07-02,731183.567749287
6757,2008-07-03,1353372.19491358
6758,2008-07-04,1908500.18635544
6759,2008-07-05,3079626.9688296
6760,2008-07-06,2237197.61099278
6761,2008-07-07,2853465.52533517
6762,2008-07-08,2685385.78530849
6763,2008-07-09,3057509.92589159
6764,2008-07-10,1634801.77999757
6765,2008-07-11,2254176.84528369
6766,2008-07-12,1889416.89709476
6767,2008-07-13,2131799.13646076
6768,2008-07-14,1996381.17997638
6769,2008-07-15,3381460.99396923
6770,2008-07-16,3200194.21174831
6771,2008-07-17,3468094.23406159
